"","abibal","acepen","acerub","alninc","betall","betpap","betpop","faggra","fraame","larlar","picrub","pinstr","popgra","prupen","querub","rhutyp","tsucan"
"abibal",38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"acepen",0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"acerub",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"alninc",0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0
"betall",0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"betpap",0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0
"betpop",0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,1,0
"faggra",0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0
"fraame",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"larlar",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
"picrub",2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"pinstr",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"popgra",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"prupen",0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
"querub",0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0
"rhutyp",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"tsucan",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33
